feature,shap_share,gain_share
country,0.1596,0.0166
deposit_type,0.1324,0.5135
agent,0.1084,0.0215
total_of_special_requests,0.1065,0.04
lead_time,0.0724,0.0186
market_segment,0.0649,0.0956
sibling_count,0.0595,0.0065
customer_type,0.0508,0.0356
arrival_date_year,0.0339,0.0104
arrival_month_cos,0.0263,0.0063
agent_day_lead_count,0.0235,0.0038
lead_time_x_special_requests,0.0157,0.0045
distribution_channel,0.012,0.04
stays_in_week_nights,0.0119,0.0047
has_agent,0.0118,0.0074
previous_bookings_not_canceled,0.0114,0.0068
adr_per_person,0.0108,0.0026
guest_cancellation_rate,0.0107,0.0401
meal,0.0106,0.0163
adr,0.0095,0.0034
stays_in_weekend_nights,0.0086,0.0066
arrival_month_num,0.0084,0.0029
hotel,0.0056,0.008
reserved_room_type,0.0049,0.0108
lead_time_category,0.0046,0.028
arrival_date_day_of_month,0.0043,0.0014
stay_type,0.0042,0.0117
children,0.0037,0.0021
guest_cancellation_rate_x_lead_time,0.0031,0.0045
has_company,0.0028,0.0042
arrival_month_sin,0.0016,0.0016
party_size_category,0.0016,0.008
is_repeated_guest,0.0013,0.0026
adults,0.0013,0.0024
days_in_waiting_list,0.0006,0.0037
company,0.0005,0.0018
no_guests_recorded,1e-04,0.0013
previous_cancellations,1e-04,0.0031
babies,0.0,0.0013
