booking_id,hotel,arrival_date,arrival_year,arrival_month,lead_time,lead_time_category,market_segment,deposit_type,customer_type,country,agent,adr,total_nights,previous_cancellations,total_of_special_requests,days_in_waiting_list,is_repeated_guest,estimated_revenue,is_canceled,risk_prob,risk_level,predicted_cancel,expected_lost_revenue,expected_realised_revenue
1,Resort Hotel,2015-07-01,2015,July,342,Very Long Term,Direct,No Deposit,Transient,PRT,No Agent,0.0,0,0,0,0,0,0.0,0,0.1806,Low,0,0.0,0.0
2,Resort Hotel,2015-07-01,2015,July,737,Very Long Term,Direct,No Deposit,Transient,PRT,No Agent,0.0,0,0,0,0,0,0.0,0,0.2225,Low,0,0.0,0.0
3,Resort Hotel,2015-07-01,2015,July,7,Last Minute,Direct,No Deposit,Transient,GBR,No Agent,75.0,1,0,0,0,0,75.0,0,0.0109,Low,0,0.82,74.18
4,Resort Hotel,2015-07-01,2015,July,13,Short Term,Corporate,No Deposit,Transient,GBR,304.0,75.0,1,0,0,0,0,75.0,0,0.0087,Low,0,0.65,74.35
5,Resort Hotel,2015-07-01,2015,July,14,Short Term,Online TA,No Deposit,Transient,GBR,240.0,98.0,2,0,1,0,0,196.0,0,0.0831,Low,0,16.29,179.71
6,Resort Hotel,2015-07-01,2015,July,14,Short Term,Online TA,No Deposit,Transient,GBR,240.0,98.0,2,0,1,0,0,196.0,0,0.0831,Low,0,16.29,179.71
7,Resort Hotel,2015-07-01,2015,July,0,Last Minute,Direct,No Deposit,Transient,PRT,No Agent,107.0,2,0,0,0,0,214.0,0,0.0615,Low,0,13.16,200.84
8,Resort Hotel,2015-07-01,2015,July,9,Short Term,Direct,No Deposit,Transient,PRT,303.0,103.0,2,0,1,0,0,206.0,0,0.1071,Low,0,22.06,183.94
9,Resort Hotel,2015-07-01,2015,July,85,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,82.0,3,0,1,0,0,246.0,1,0.3645,Medium,0,89.67,156.33
10,Resort Hotel,2015-07-01,2015,July,75,Medium Term,Offline TA/TO,No Deposit,Transient,PRT,15.0,105.5,3,0,0,0,0,316.5,1,0.4167,Medium,0,131.89,184.61
11,Resort Hotel,2015-07-01,2015,July,23,Short Term,Online TA,No Deposit,Transient,PRT,240.0,123.0,4,0,0,0,0,492.0,1,0.7334,High,1,360.83,131.17
12,Resort Hotel,2015-07-01,2015,July,35,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,145.0,4,0,0,0,0,580.0,0,0.7064,High,1,409.71,170.29
13,Resort Hotel,2015-07-01,2015,July,68,Medium Term,Online TA,No Deposit,Transient,USA,240.0,97.0,4,0,3,0,0,388.0,0,0.0444,Low,0,17.23,370.77
14,Resort Hotel,2015-07-01,2015,July,18,Short Term,Online TA,No Deposit,Transient,ESP,241.0,154.77,4,0,1,0,0,619.08,0,0.0049,Low,0,3.03,616.05
15,Resort Hotel,2015-07-01,2015,July,37,Medium Term,Online TA,No Deposit,Transient,PRT,241.0,94.71,4,0,0,0,0,378.84,0,0.6431,High,1,243.63,135.21
16,Resort Hotel,2015-07-01,2015,July,68,Medium Term,Online TA,No Deposit,Transient,IRL,240.0,97.0,4,0,3,0,0,388.0,0,0.0383,Low,0,14.86,373.14
17,Resort Hotel,2015-07-01,2015,July,37,Medium Term,Offline TA/TO,No Deposit,Contract,PRT,8.0,97.5,4,0,0,0,0,390.0,0,0.5212,High,1,203.27,186.73
18,Resort Hotel,2015-07-01,2015,July,12,Short Term,Online TA,No Deposit,Transient,IRL,240.0,88.2,1,0,0,0,0,88.2,0,0.1135,Low,0,10.01,78.19
19,Resort Hotel,2015-07-01,2015,July,0,Last Minute,Corporate,No Deposit,Transient,FRA,No Agent,107.42,1,0,0,0,0,107.42,0,0.0168,Low,0,1.8,105.62
20,Resort Hotel,2015-07-01,2015,July,7,Last Minute,Direct,No Deposit,Transient,GBR,250.0,153.0,4,0,1,0,0,612.0,0,0.0091,Low,0,5.57,606.43
21,Resort Hotel,2015-07-01,2015,July,37,Medium Term,Online TA,No Deposit,Transient,GBR,241.0,97.29,5,0,1,0,0,486.4500000000001,0,0.0073,Low,0,3.55,482.9
22,Resort Hotel,2015-07-01,2015,July,72,Medium Term,Direct,No Deposit,Transient,PRT,250.0,84.67,6,0,1,0,0,508.02,0,0.3181,Medium,0,161.6,346.42
23,Resort Hotel,2015-07-01,2015,July,72,Medium Term,Direct,No Deposit,Transient,PRT,250.0,84.67,6,0,1,0,0,508.02,0,0.3181,Medium,0,161.6,346.42
24,Resort Hotel,2015-07-01,2015,July,72,Medium Term,Direct,No Deposit,Transient,PRT,250.0,99.67,6,0,1,0,0,598.02,0,0.1965,Low,0,117.51,480.51
25,Resort Hotel,2015-07-01,2015,July,127,Long Term,Offline TA/TO,No Deposit,Contract,GBR,115.0,94.95,7,0,1,0,0,664.65,0,0.0027,Low,0,1.79,662.86
26,Resort Hotel,2015-07-01,2015,July,78,Medium Term,Offline TA/TO,No Deposit,Transient,PRT,5.0,63.6,7,0,0,0,0,445.2,0,0.549,High,1,244.41,200.79
27,Resort Hotel,2015-07-01,2015,July,48,Medium Term,Offline TA/TO,No Deposit,Contract,IRL,8.0,79.5,7,0,0,0,0,556.5,0,0.002,Low,0,1.11,555.39
28,Resort Hotel,2015-07-01,2015,July,60,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,107.0,7,0,2,0,0,749.0,1,0.4324,Medium,0,323.87,425.13
29,Resort Hotel,2015-07-01,2015,July,77,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,94.0,7,0,0,0,0,658.0,0,0.8109,High,1,533.57,124.43
30,Resort Hotel,2015-07-01,2015,July,99,Long Term,Online TA,No Deposit,Transient,PRT,240.0,87.3,7,0,1,0,0,611.1,0,0.5254,High,1,321.07,290.03
31,Resort Hotel,2015-07-01,2015,July,118,Long Term,Direct,No Deposit,Transient,Unknown,No Agent,62.0,14,0,2,0,0,868.0,0,0.0175,Low,0,15.19,852.81
32,Resort Hotel,2015-07-01,2015,July,95,Long Term,Offline TA/TO,No Deposit,Transient,GBR,241.0,63.86,15,0,0,0,0,957.9,0,0.0038,Low,0,3.64,954.26
33,Resort Hotel,2015-07-01,2015,July,96,Long Term,Direct,No Deposit,Transient,PRT,No Agent,108.3,10,0,2,0,0,1083.0,1,0.2352,Low,0,254.72,828.28
34,Resort Hotel,2015-07-02,2015,July,69,Medium Term,Offline TA/TO,No Deposit,Transient,IRL,175.0,65.5,6,0,0,0,0,393.0,0,0.0073,Low,0,2.87,390.13
35,Resort Hotel,2015-07-02,2015,July,45,Medium Term,Online TA,No Deposit,Transient,PRT,241.0,108.8,4,0,1,0,0,435.2,1,0.2952,Medium,0,128.47,306.73
36,Resort Hotel,2015-07-02,2015,July,40,Medium Term,Online TA,No Deposit,Transient,PRT,241.0,108.8,4,0,1,0,0,435.2,1,0.3021,Medium,0,131.47,303.73
37,Resort Hotel,2015-07-02,2015,July,15,Short Term,Online TA,No Deposit,Transient,ESP,240.0,98.0,4,0,0,0,0,392.0,0,0.1367,Low,0,53.59,338.41
38,Resort Hotel,2015-07-02,2015,July,36,Medium Term,Online TA,No Deposit,Transient,PRT,241.0,108.8,4,0,1,0,0,435.2,0,0.3043,Medium,0,132.43,302.77
39,Resort Hotel,2015-07-02,2015,July,43,Medium Term,Online TA,No Deposit,Transient,PRT,241.0,108.8,4,0,0,0,0,435.2,1,0.6194,High,1,269.56,165.64
40,Resort Hotel,2015-07-02,2015,July,70,Medium Term,Direct,No Deposit,Transient,ROU,250.0,137.0,5,0,1,0,0,685.0,0,0.0487,Low,0,33.36,651.64
41,Resort Hotel,2015-07-02,2015,July,45,Medium Term,Online TA,No Deposit,Transient,PRT,241.0,117.81,5,0,0,0,0,589.05,1,0.6753,High,1,397.79,191.26
42,Resort Hotel,2015-07-02,2015,July,45,Medium Term,Offline TA/TO,No Deposit,Contract,IRL,8.0,79.5,5,0,0,0,0,397.5,0,0.0025,Low,0,0.99,396.51
43,Resort Hotel,2015-07-02,2015,July,16,Short Term,Direct,No Deposit,Transient,ESP,No Agent,123.0,5,0,0,0,0,615.0,0,0.0219,Low,0,13.47,601.53
44,Resort Hotel,2015-07-02,2015,July,70,Medium Term,Direct,No Deposit,Transient,ROU,250.0,137.0,5,0,1,0,0,685.0,0,0.0487,Low,0,33.36,651.64
45,Resort Hotel,2015-07-02,2015,July,107,Long Term,Online TA,No Deposit,Transient,PRT,240.0,110.7,7,0,2,0,0,774.9,0,0.4477,Medium,0,346.92,427.98
46,Resort Hotel,2015-07-02,2015,July,47,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,153.0,7,0,0,0,0,1071.0,1,0.8372,High,1,896.64,174.36
47,Resort Hotel,2015-07-02,2015,July,96,Long Term,Offline TA/TO,No Deposit,Transient,ESP,134.0,58.95,7,0,1,0,0,412.65,0,0.0014,Low,0,0.58,412.07
48,Resort Hotel,2015-07-02,2015,July,113,Long Term,Offline TA/TO,No Deposit,Transient-Party,NOR,156.0,82.88,7,0,2,0,0,580.16,0,0.0008,Low,0,0.46,579.7
49,Resort Hotel,2015-07-02,2015,July,90,Medium Term,Offline TA/TO,No Deposit,Contract,GBR,243.0,82.35,7,0,0,0,0,576.4499999999999,0,0.0024,Low,0,1.38,575.07
50,Resort Hotel,2015-07-02,2015,July,50,Medium Term,Online TA,No Deposit,Transient,IRL,241.0,119.35,7,0,1,0,0,835.4499999999999,0,0.0051,Low,0,4.26,831.19
51,Resort Hotel,2015-07-02,2015,July,113,Long Term,Offline TA/TO,No Deposit,Transient-Party,NOR,156.0,67.58,7,0,2,0,0,473.06,0,0.0007,Low,0,0.33,472.73
52,Resort Hotel,2015-07-02,2015,July,93,Long Term,Offline TA/TO,No Deposit,Contract,IRL,156.0,56.01,11,0,0,0,0,616.11,0,0.0047,Low,0,2.9,613.21
53,Resort Hotel,2015-07-02,2015,July,76,Medium Term,Offline TA/TO,No Deposit,Contract,OMN,243.0,110.7,14,0,0,0,0,1549.8,0,0.0021,Low,0,3.25,1546.55
54,Resort Hotel,2015-07-02,2015,July,3,Last Minute,Online TA,No Deposit,Transient,ESP,240.0,88.2,1,0,0,0,0,88.2,0,0.034,Low,0,3.0,85.2
55,Resort Hotel,2015-07-02,2015,July,1,Last Minute,Online TA,No Deposit,Transient,ARG,240.0,147.0,1,0,0,0,0,147.0,0,0.0193,Low,0,2.84,144.16
56,Resort Hotel,2015-07-02,2015,July,1,Last Minute,Direct,No Deposit,Transient,ESP,No Agent,107.0,1,0,2,0,0,107.0,0,0.0043,Low,0,0.46,106.54
57,Resort Hotel,2015-07-02,2015,July,0,Last Minute,Direct,No Deposit,Transient,PRT,No Agent,147.0,1,0,0,0,0,147.0,0,0.0492,Low,0,7.23,139.77
58,Resort Hotel,2015-07-02,2015,July,0,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,117.9,1,0,2,0,0,117.9,0,0.0397,Low,0,4.68,113.22
59,Resort Hotel,2015-07-02,2015,July,0,Last Minute,Direct,No Deposit,Transient,PRT,No Agent,123.0,1,0,0,0,0,123.0,0,0.0574,Low,0,7.06,115.94
60,Resort Hotel,2015-07-02,2015,July,14,Short Term,Online TA,No Deposit,Transient,USA,242.0,98.0,2,0,1,0,0,196.0,0,0.005,Low,0,0.98,195.02
