priority_rank,booking_id,hotel,arrival_date,total_nights,days_in_waiting_list,adr,risk_prob,risk_level,estimated_revenue,expected_realised_revenue
1,35646,Resort Hotel,2017-04-20,9,14,131.0,0.0021,Low,1179.0,1176.52
2,35647,Resort Hotel,2017-04-20,9,14,131.0,0.0307,Low,1179.0,1142.8
3,26078,Resort Hotel,2017-07-09,9,11,104.85,0.0002,Low,943.65,943.46
4,35678,Resort Hotel,2017-04-22,7,5,116.0,0.0094,Low,812.0,804.37
5,99119,City Hotel,2016-10-04,6,162,123.33,0.0024,Low,739.98,738.2
6,99129,City Hotel,2016-10-04,6,162,123.33,0.0024,Low,739.98,738.2
7,99130,City Hotel,2016-10-04,6,162,123.33,0.0024,Low,739.98,738.2
8,99136,City Hotel,2016-10-04,6,162,123.33,0.0024,Low,739.98,738.2
9,99138,City Hotel,2016-10-04,6,162,123.33,0.0024,Low,739.98,738.2
10,3681,Resort Hotel,2015-12-30,4,122,192.25,0.0428,Low,769.0,736.09
11,35686,Resort Hotel,2017-04-22,7,14,105.71,0.0061,Low,739.9699999999999,735.46
12,34454,Resort Hotel,2017-03-01,25,37,41.52,0.3,Medium,1038.0,726.6
13,54525,City Hotel,2016-07-18,11,1,139.34,0.5286,High,1532.74,722.53
14,54523,City Hotel,2016-07-18,11,1,139.34,0.5557,High,1532.74,681.0
15,43711,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
16,43712,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
17,43713,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
18,43716,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
19,43719,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
20,43720,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
21,43721,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
22,43724,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
23,43725,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
24,43727,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
25,43728,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
26,43729,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
27,43730,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
28,43732,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
29,43734,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
30,43735,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
31,43737,City Hotel,2015-09-23,3,33,224.67,0.0118,Low,674.01,666.06
